ticker,name,sector,current_price,score,regime,leverage,signal,signal_strength,entry_price,take_profit,trailing_stop,position_size_pct,recommendation,details
7030.SR,Zain KSA,Telecom,10.9,61.2,BULL,1.5,NONE,0.0,10.92,13.65,10.16,9.0,HOLD,"{'score_breakdown': {'momentum': np.float64(69.0), 'volatility': np.float64(63.9), 'volume': np.float64(48.2), 'rsi': 20, 'trend': np.float64(77.8), 'beta': 80}, 'rsi': np.float64(62.6), 'momentum': np.float64(3.81), 'volatility': np.float64(18.06), 'volume_ratio': np.float64(1.2), 'ma_50': np.float64(10.63), 'trend_strength': np.float64(2.59)}"
2010.SR,SABIC,Materials,55.5,63.6,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,55.61,69.51,51.72,6.3,BUY,"{'score_breakdown': {'momentum': np.float64(95.2), 'volatility': np.float64(39.4), 'volume': np.float64(41.9), 'rsi': 50, 'trend': np.float64(79.3), 'beta': 60}, 'rsi': np.float64(47.7), 'momentum': np.float64(9.04), 'volatility': np.float64(30.31), 'volume_ratio': np.float64(1.05), 'ma_50': np.float64(53.84), 'trend_strength': np.float64(3.09)}"
1211.SR,Maaden,Materials,72.55,57.2,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,72.7,90.87,67.61,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': 0, 'volume': np.float64(34.9), 'rsi': 40, 'trend': 100, 'beta': 40}, 'rsi': np.float64(50.3), 'momentum': np.float64(14.25), 'volatility': np.float64(59.53), 'volume_ratio': np.float64(0.87), 'ma_50': np.float64(65.75), 'trend_strength': np.float64(10.34)}"
2290.SR,Yanbu National Petro,Materials,26.52,56.5,BEAR,0.5,NONE,0.0,26.57,33.22,24.71,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(51.1), 'volatility': np.float64(54.1), 'volume': np.float64(26.2), 'rsi': 70, 'trend': np.float64(58.5), 'beta': 80}, 'rsi': np.float64(38.0), 'momentum': np.float64(0.23), 'volatility': np.float64(22.94), 'volume_ratio': np.float64(0.66), 'ma_50': np.float64(27.91), 'trend_strength': np.float64(-4.98)}"
2310.SR,SIIG,Materials,14.51,57.5,BEAR,0.5,NONE,0.0,14.54,18.17,13.52,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(43.5), 'volatility': np.float64(58.3), 'volume': np.float64(38.8), 'rsi': 70, 'trend': np.float64(58.4), 'beta': 80}, 'rsi': np.float64(35.3), 'momentum': np.float64(-1.29), 'volatility': np.float64(20.83), 'volume_ratio': np.float64(0.97), 'ma_50': np.float64(15.33), 'trend_strength': np.float64(-5.32)}"
2330.SR,Advanced Petrochem,Materials,24.5,54.7,BEAR,0.5,OVERSOLD_ENTRY,1.0,24.55,30.69,22.83,3.0,HOLD,"{'score_breakdown': {'momentum': 0, 'volatility': np.float64(54.8), 'volume': np.float64(65.5), 'rsi': 90, 'trend': np.float64(56.0), 'beta': 80}, 'rsi': np.float64(21.8), 'momentum': np.float64(-10.58), 'volatility': np.float64(22.6), 'volume_ratio': np.float64(1.64), 'ma_50': np.float64(28.31), 'trend_strength': np.float64(-13.46)}"
2350.SR,Saudi Kayan,Materials,4.62,53.7,BEAR_HIGH_VOL,0.35,NONE,0.0,4.63,5.79,4.31,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(55.5), 'volatility': np.float64(38.1), 'volume': np.float64(37.8), 'rsi': 70, 'trend': np.float64(58.7), 'beta': 60}, 'rsi': np.float64(38.0), 'momentum': np.float64(1.09), 'volatility': np.float64(30.96), 'volume_ratio': np.float64(0.94), 'ma_50': np.float64(4.83), 'trend_strength': np.float64(-4.43)}"
1320.SR,Saudi Steel Pipe,Materials,39.8,56.7,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,39.88,49.85,37.09,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(91.1), 'volatility': np.float64(38.2), 'volume': np.float64(21.3), 'rsi': 40, 'trend': np.float64(73.0), 'beta': 60}, 'rsi': np.float64(59.9), 'momentum': np.float64(8.21), 'volatility': np.float64(30.89), 'volume_ratio': np.float64(0.53), 'ma_50': np.float64(39.41), 'trend_strength': np.float64(1.0)}"
1304.SR,Yamamah Steel,Materials,37.9,51.0,BULL_HIGH_VOL,1.05,NONE,0.0,37.98,47.47,35.32,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(61.3), 'volatility': np.float64(32.1), 'volume': np.float64(18.1), 'rsi': 20, 'trend': np.float64(95.9), 'beta': 60}, 'rsi': np.float64(64.7), 'momentum': np.float64(2.27), 'volatility': np.float64(33.97), 'volume_ratio': np.float64(0.45), 'ma_50': np.float64(34.89), 'trend_strength': np.float64(8.62)}"
1321.SR,East Pipes,Materials,159.8,58.5,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,160.12,200.15,148.91,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(11.3), 'volume': np.float64(52.2), 'rsi': 20, 'trend': 100, 'beta': 40}, 'rsi': np.float64(89.5), 'momentum': np.float64(18.9), 'volatility': np.float64(44.34), 'volume_ratio': np.float64(1.31), 'ma_50': np.float64(138.51), 'trend_strength': np.float64(15.37)}"
3020.SR,Yamama Cement,Cement,26.6,58.7,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,26.65,33.32,24.79,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(83.1), 'volatility': np.float64(37.2), 'volume': np.float64(15.4), 'rsi': 50, 'trend': np.float64(88.3), 'beta': 60}, 'rsi': np.float64(49.0), 'momentum': np.float64(6.61), 'volatility': np.float64(31.4), 'volume_ratio': np.float64(0.39), 'ma_50': np.float64(25.07), 'trend_strength': np.float64(6.11)}"
3030.SR,Saudi Cement,Cement,35.18,61.9,BULL,1.5,MOMENTUM_ENTRY,0.67,35.25,44.06,32.78,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(61.9), 'volatility': np.float64(71.2), 'volume': np.float64(55.7), 'rsi': 50, 'trend': np.float64(70.1), 'beta': 60}, 'rsi': np.float64(42.7), 'momentum': np.float64(2.39), 'volatility': np.float64(14.4), 'volume_ratio': np.float64(1.39), 'ma_50': np.float64(35.16), 'trend_strength': np.float64(0.04)}"
3040.SR,Qassim Cement,Cement,42.42,53.6,BULL,1.5,MOMENTUM_ENTRY,0.67,42.5,53.13,39.53,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(51.9), 'volatility': np.float64(81.7), 'volume': np.float64(20.3), 'rsi': 50, 'trend': np.float64(72.2), 'beta': 40}, 'rsi': np.float64(42.7), 'momentum': np.float64(0.38), 'volatility': np.float64(9.14), 'volume_ratio': np.float64(0.51), 'ma_50': np.float64(42.11), 'trend_strength': np.float64(0.74)}"
3050.SR,Southern Cement,Cement,21.65,58.0,BEAR,0.5,NONE,0.0,21.69,27.12,20.17,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(49.3), 'volatility': np.float64(51.0), 'volume': np.float64(40.6), 'rsi': 70, 'trend': np.float64(59.3), 'beta': 80}, 'rsi': np.float64(35.7), 'momentum': np.float64(-0.14), 'volatility': np.float64(24.5), 'volume_ratio': np.float64(1.01), 'ma_50': np.float64(22.19), 'trend_strength': np.float64(-2.42)}"
3060.SR,Yanbu Cement,Cement,15.05,59.9,BULL,1.5,MOMENTUM_ENTRY,0.67,15.08,18.85,14.02,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(56.1), 'volatility': np.float64(64.2), 'volume': np.float64(33.4), 'rsi': 50, 'trend': np.float64(73.0), 'beta': 80}, 'rsi': np.float64(45.5), 'momentum': np.float64(1.21), 'volatility': np.float64(17.91), 'volume_ratio': np.float64(0.84), 'ma_50': np.float64(14.9), 'trend_strength': np.float64(0.99)}"
4300.SR,Dar Al Arkan,Real Estate,18.12,54.0,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,18.16,22.7,16.89,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(1.4), 'volume': np.float64(32.2), 'rsi': 20, 'trend': 100, 'beta': 40}, 'rsi': np.float64(63.9), 'momentum': np.float64(17.66), 'volatility': np.float64(49.3), 'volume_ratio': np.float64(0.81), 'ma_50': np.float64(16.43), 'trend_strength': np.float64(10.32)}"
4310.SR,Emaar Economic City,Real Estate,12.59,56.1,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,12.62,15.77,11.73,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(76.8), 'volatility': np.float64(33.4), 'volume': np.float64(30.2), 'rsi': 40, 'trend': np.float64(81.1), 'beta': 60}, 'rsi': np.float64(55.6), 'momentum': np.float64(5.36), 'volatility': np.float64(33.3), 'volume_ratio': np.float64(0.75), 'ma_50': np.float64(12.14), 'trend_strength': np.float64(3.71)}"
4320.SR,Al Andalus,Real Estate,17.17,53.2,BEAR,0.5,NONE,0.0,17.2,21.51,16.0,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(37.8), 'volatility': np.float64(59.8), 'volume': np.float64(36.2), 'rsi': 50, 'trend': np.float64(58.9), 'beta': 80}, 'rsi': np.float64(41.5), 'momentum': np.float64(-2.44), 'volatility': np.float64(20.12), 'volume_ratio': np.float64(0.91), 'ma_50': np.float64(17.79), 'trend_strength': np.float64(-3.51)}"
4250.SR,Jabal Omar,Real Estate,16.09,61.6,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,16.12,20.15,14.99,6.3,BUY,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(36.1), 'volume': np.float64(29.7), 'rsi': 40, 'trend': np.float64(83.8), 'beta': 60}, 'rsi': np.float64(55.8), 'momentum': np.float64(10.97), 'volatility': np.float64(31.97), 'volume_ratio': np.float64(0.74), 'ma_50': np.float64(15.38), 'trend_strength': np.float64(4.61)}"
4190.SR,Jarir Marketing,Retail,14.31,68.2,BULL,1.5,MOMENTUM_ENTRY,0.67,14.34,17.92,13.33,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(92.0), 'volatility': np.float64(76.1), 'volume': np.float64(48.3), 'rsi': 20, 'trend': np.float64(95.5), 'beta': 60}, 'rsi': np.float64(76.2), 'momentum': np.float64(8.41), 'volatility': np.float64(11.97), 'volume_ratio': np.float64(1.21), 'ma_50': np.float64(13.19), 'trend_strength': np.float64(8.5)}"
4001.SR,Abdullah Al Othaim,Retail,6.47,59.9,BULL,1.5,MOMENTUM_ENTRY,1.0,6.48,8.1,6.03,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(77.7), 'volatility': np.float64(51.3), 'volume': np.float64(23.5), 'rsi': 40, 'trend': np.float64(75.8), 'beta': 80}, 'rsi': np.float64(59.3), 'momentum': np.float64(5.55), 'volatility': np.float64(24.33), 'volume_ratio': np.float64(0.59), 'ma_50': np.float64(6.35), 'trend_strength': np.float64(1.95)}"
4003.SR,Extra,Retail,87.9,58.3,BULL,1.5,MOMENTUM_ENTRY,0.67,88.08,110.09,81.91,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(61.0), 'volatility': np.float64(67.4), 'volume': np.float64(20.6), 'rsi': 40, 'trend': np.float64(74.3), 'beta': 80}, 'rsi': np.float64(57.4), 'momentum': np.float64(2.21), 'volatility': np.float64(16.31), 'volume_ratio': np.float64(0.52), 'ma_50': np.float64(86.67), 'trend_strength': np.float64(1.42)}"
4006.SR,Fawaz Al Hokair,Retail,13.55,58.2,BEAR,0.5,OVERSOLD_ENTRY,0.67,13.58,16.97,12.63,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(43.8), 'volatility': np.float64(50.6), 'volume': np.float64(50.5), 'rsi': 70, 'trend': np.float64(58.7), 'beta': 80}, 'rsi': np.float64(34.9), 'momentum': np.float64(-1.24), 'volatility': np.float64(24.68), 'volume_ratio': np.float64(1.26), 'ma_50': np.float64(14.17), 'trend_strength': np.float64(-4.37)}"
2280.SR,Almarai,Food,41.74,56.9,BEAR_HIGH_VOL,0.35,NONE,0.0,41.82,52.28,38.9,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(52.9), 'volatility': np.float64(44.1), 'volume': np.float64(36.4), 'rsi': 70, 'trend': np.float64(58.8), 'beta': 80}, 'rsi': np.float64(36.3), 'momentum': np.float64(0.58), 'volatility': np.float64(27.96), 'volume_ratio': np.float64(0.91), 'ma_50': np.float64(43.46), 'trend_strength': np.float64(-3.95)}"
2050.SR,Savola,Food,22.81,58.0,BEAR_HIGH_VOL,0.35,MOMENTUM_ENTRY,0.67,22.86,28.57,21.26,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(83.7), 'volatility': np.float64(46.3), 'volume': np.float64(29.2), 'rsi': 40, 'trend': np.float64(59.7), 'beta': 80}, 'rsi': np.float64(58.7), 'momentum': np.float64(6.74), 'volatility': np.float64(26.83), 'volume_ratio': np.float64(0.73), 'ma_50': np.float64(23.02), 'trend_strength': np.float64(-0.9)}"
6010.SR,Nadec,Food,17.6,57.1,BEAR_HIGH_VOL,0.35,OVERSOLD_ENTRY,1.0,17.64,22.04,16.4,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(28.3), 'volatility': np.float64(35.1), 'volume': 100, 'rsi': 70, 'trend': np.float64(58.3), 'beta': 60}, 'rsi': np.float64(31.0), 'momentum': np.float64(-4.35), 'volatility': np.float64(32.46), 'volume_ratio': np.float64(2.63), 'ma_50': np.float64(18.67), 'trend_strength': np.float64(-5.76)}"
6020.SR,Sadafco,Food,15.34,61.8,BEAR,0.5,OVERSOLD_ENTRY,0.67,15.37,19.21,14.29,3.0,BUY,"{'score_breakdown': {'momentum': np.float64(54.6), 'volatility': np.float64(59.2), 'volume': np.float64(31.8), 'rsi': 90, 'trend': np.float64(58.7), 'beta': 80}, 'rsi': np.float64(23.0), 'momentum': np.float64(0.92), 'volatility': np.float64(20.38), 'volume_ratio': np.float64(0.8), 'ma_50': np.float64(16.02), 'trend_strength': np.float64(-4.24)}"
2270.SR,Saudia Dairy,Food,235.0,57.6,BEAR,0.5,NONE,0.0,235.47,294.34,218.99,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(51.9), 'volatility': np.float64(51.2), 'volume': np.float64(63.9), 'rsi': 40, 'trend': np.float64(59.6), 'beta': 80}, 'rsi': np.float64(50.6), 'momentum': np.float64(0.38), 'volatility': np.float64(24.38), 'volume_ratio': np.float64(1.6), 'ma_50': np.float64(238.02), 'trend_strength': np.float64(-1.27)}"
4002.SR,Mouwasat,Healthcare,67.1,54.4,BEAR_HIGH_VOL,0.35,NONE,0.0,67.23,84.04,62.53,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(59.5), 'volatility': np.float64(49.9), 'volume': np.float64(34.0), 'rsi': 40, 'trend': np.float64(59.6), 'beta': 80}, 'rsi': np.float64(50.2), 'momentum': np.float64(1.9), 'volatility': np.float64(25.05), 'volume_ratio': np.float64(0.85), 'ma_50': np.float64(68.0), 'trend_strength': np.float64(-1.32)}"
4004.SR,Dallah Healthcare,Healthcare,116.7,56.5,BEAR,0.5,OVERSOLD_ENTRY,0.67,116.93,146.17,108.75,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(28.3), 'volatility': np.float64(51.7), 'volume': np.float64(59.4), 'rsi': 70, 'trend': np.float64(58.2), 'beta': 80}, 'rsi': np.float64(30.6), 'momentum': np.float64(-4.34), 'volatility': np.float64(24.16), 'volume_ratio': np.float64(1.48), 'ma_50': np.float64(124.0), 'trend_strength': np.float64(-5.88)}"
4005.SR,Care,Healthcare,157.0,61.3,BULL,1.5,MOMENTUM_ENTRY,0.67,157.31,196.64,146.3,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(91.4), 'volatility': np.float64(55.1), 'volume': np.float64(10.9), 'rsi': 20, 'trend': np.float64(90.6), 'beta': 80}, 'rsi': np.float64(62.0), 'momentum': np.float64(8.28), 'volatility': np.float64(22.44), 'volume_ratio': np.float64(0.27), 'ma_50': np.float64(146.91), 'trend_strength': np.float64(6.87)}"
4007.SR,Al Hammadi,Healthcare,26.26,52.0,BEAR,0.5,NONE,0.0,26.31,32.89,24.47,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(36.3), 'volatility': np.float64(55.8), 'volume': np.float64(34.9), 'rsi': 50, 'trend': np.float64(58.3), 'beta': 80}, 'rsi': np.float64(41.6), 'momentum': np.float64(-2.74), 'volatility': np.float64(22.1), 'volume_ratio': np.float64(0.87), 'ma_50': np.float64(27.87), 'trend_strength': np.float64(-5.78)}"
4009.SR,Middle East Healthcare,Healthcare,34.0,45.9,BEAR_HIGH_VOL,0.35,NONE,0.0,34.07,42.58,31.68,3.0,AVOID,"{'score_breakdown': {'momentum': np.float64(72.1), 'volatility': np.float64(11.7), 'volume': np.float64(39.1), 'rsi': 40, 'trend': np.float64(59.2), 'beta': 40}, 'rsi': np.float64(54.3), 'momentum': np.float64(4.42), 'volatility': np.float64(44.15), 'volume_ratio': np.float64(0.98), 'ma_50': np.float64(34.88), 'trend_strength': np.float64(-2.53)}"
8210.SR,Bupa Arabia,Insurance,162.0,50.8,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,162.32,202.91,150.96,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': 0, 'volume': np.float64(11.7), 'rsi': 20, 'trend': 100, 'beta': 40}, 'rsi': np.float64(78.1), 'momentum': np.float64(20.63), 'volatility': np.float64(51.56), 'volume_ratio': np.float64(0.29), 'ma_50': np.float64(145.31), 'trend_strength': np.float64(11.48)}"
8010.SR,Tawuniya,Insurance,137.0,50.8,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,137.27,171.59,127.66,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(2.5), 'volume': np.float64(9.3), 'rsi': 20, 'trend': 100, 'beta': 40}, 'rsi': np.float64(72.7), 'momentum': np.float64(21.02), 'volatility': np.float64(48.73), 'volume_ratio': np.float64(0.23), 'ma_50': np.float64(122.3), 'trend_strength': np.float64(12.02)}"
8200.SR,Saudi Re,Insurance,27.1,50.1,BEAR_HIGH_VOL,0.35,NONE,0.0,27.15,33.94,25.25,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(66.0), 'volatility': 0, 'volume': np.float64(56.8), 'rsi': 70, 'trend': np.float64(59.4), 'beta': 40}, 'rsi': np.float64(39.0), 'momentum': np.float64(3.2), 'volatility': np.float64(54.16), 'volume_ratio': np.float64(1.42), 'ma_50': np.float64(27.67), 'trend_strength': np.float64(-2.08)}"
2222.SR,Saudi Aramco,Energy,25.6,70.8,BULL,1.5,MOMENTUM_ENTRY,0.67,25.65,32.06,23.86,10.0,BUY,"{'score_breakdown': {'momentum': np.float64(91.2), 'volatility': np.float64(64.5), 'volume': np.float64(73.2), 'rsi': 20, 'trend': np.float64(84.6), 'beta': 80}, 'rsi': np.float64(63.6), 'momentum': np.float64(8.25), 'volatility': np.float64(17.77), 'volume_ratio': np.float64(1.83), 'ma_50': np.float64(24.41), 'trend_strength': np.float64(4.87)}"
2380.SR,Petro Rabigh,Energy,6.97,58.4,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,6.98,8.73,6.5,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(89.5), 'volatility': np.float64(35.3), 'volume': np.float64(38.7), 'rsi': 40, 'trend': np.float64(72.0), 'beta': 60}, 'rsi': np.float64(55.7), 'momentum': np.float64(7.89), 'volatility': np.float64(32.36), 'volume_ratio': np.float64(0.97), 'ma_50': np.float64(6.92), 'trend_strength': np.float64(0.68)}"
2030.SR,SARCO,Energy,50.8,54.4,BEAR_HIGH_VOL,0.35,NONE,0.0,50.9,63.63,47.34,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(62.1), 'volatility': np.float64(44.2), 'volume': np.float64(26.6), 'rsi': 50, 'trend': np.float64(59.2), 'beta': 80}, 'rsi': np.float64(43.3), 'momentum': np.float64(2.42), 'volatility': np.float64(27.9), 'volume_ratio': np.float64(0.66), 'ma_50': np.float64(52.23), 'trend_strength': np.float64(-2.73)}"
5110.SR,Saudi Electricity,Utilities,14.25,54.9,BULL,1.5,NONE,0.0,14.28,17.85,13.28,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(58.9), 'volatility': np.float64(76.8), 'volume': np.float64(33.8), 'rsi': 20, 'trend': np.float64(72.5), 'beta': 60}, 'rsi': np.float64(61.3), 'momentum': np.float64(1.79), 'volatility': np.float64(11.59), 'volume_ratio': np.float64(0.85), 'ma_50': np.float64(14.13), 'trend_strength': np.float64(0.84)}"
2082.SR,ACWA Power,Utilities,187.2,59.6,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,187.57,234.47,174.44,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(98.0), 'volatility': np.float64(34.1), 'volume': np.float64(32.4), 'rsi': 40, 'trend': np.float64(75.2), 'beta': 60}, 'rsi': np.float64(53.9), 'momentum': np.float64(9.6), 'volatility': np.float64(32.97), 'volume_ratio': np.float64(0.81), 'ma_50': np.float64(184.04), 'trend_strength': np.float64(1.72)}"
2083.SR,Marafiq,Utilities,31.36,43.9,BEAR_HIGH_VOL,0.35,OVERSOLD_ENTRY,0.67,31.42,39.28,29.22,3.0,AVOID,"{'score_breakdown': {'momentum': 0, 'volatility': np.float64(34.9), 'volume': np.float64(52.6), 'rsi': 70, 'trend': np.float64(56.2), 'beta': 60}, 'rsi': np.float64(33.9), 'momentum': np.float64(-10.71), 'volatility': np.float64(32.57), 'volume_ratio': np.float64(1.31), 'ma_50': np.float64(35.88), 'trend_strength': np.float64(-12.59)}"
4030.SR,Bahri,Transportation,31.6,65.8,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,31.66,39.58,29.45,6.3,BUY,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(42.5), 'volume': np.float64(41.5), 'rsi': 20, 'trend': np.float64(91.1), 'beta': 80}, 'rsi': np.float64(64.4), 'momentum': np.float64(18.26), 'volatility': np.float64(28.73), 'volume_ratio': np.float64(1.04), 'ma_50': np.float64(29.53), 'trend_strength': np.float64(7.02)}"
